1月1日 1801年意大利天文学家皮亚齐发现第一颗小行星谷神星
7月2日 1900年齐柏林飞艇首次飞行
7月3日 1886年卡尔·本茨推出第一辆汽车
7月4日 1997年美国宇航局火星探路者号登陆火星
7月5日 1996年克隆羊多莉出生
7月6日 1885年路易·巴斯德首次成功测试狂犬病疫苗
7月7日 1930年建造胡佛水坝开始
7月8日 2011年航天飞机最后一次发射
7月9日 1816年阿根廷宣布独立
7月10日 1962年泰星通信卫星发射
7月11日 1804年美国副总统阿龙·伯尔与亚历山大·汉密尔顿决斗
7月12日 100BC尤利乌斯·凯撒出生
7月13日 1863年纽约征兵暴动
7月14日 1965年水手4号首次飞越火星
7月15日 1799年罗塞塔石碑发现
7月16日 1945年第一次原子弹试验
7月17日 1955年迪士尼乐园开放
7月18日 1925年希特勒《我的奋斗》出版
7月19日 1848年第一次女权大会
7月20日 1969年阿波罗11号登月
7月21日 2011年航天飞机亚特兰蒂斯号最后一次着陆
7月22日 1933年威利·波斯特完成首次单人环球飞行
7月23日 1995年海尔-波普彗星发现
7月24日 1950年首次火箭发射从卡纳维拉尔角
7月25日 1909年路易·布莱里奥首次飞越英吉利海峡
7月26日 1956年埃及将苏伊士运河国有化
7月27日 1949年世界首架喷气客机德哈维兰彗星号首飞
7月28日 1976年唐山大地震
7月29日 1958年美国NASA成立
7月30日 1898年奥托·冯·俾斯麦逝世
7月31日 1790年第一个美国专利颁发
8月1日 1981年MTV开播
8月2日 1939年爱因斯坦致信罗斯福建议研制原子弹
8月3日 1492年哥伦布开始第一次航行
8月4日 2007年凤凰号火星探测器发射
8月5日 1864年约翰·斯诺控制霍乱爆发
8月6日 1945年广岛原子弹爆炸
8月7日 1959年美国宇航局公布第一批宇航员
8月8日 1918年第一次世界大战亚眠战役开始
8月9日 1945年长崎原子弹爆炸
8月10日 1846年史密森尼学会成立
8月11日 1962年安德rian·尼古拉耶夫成为第三个进入太空的人
8月12日 1877年阿萨夫·霍尔发现火星卫星火卫一
8月13日 1910年弗洛伦斯·南丁格尔逝世
8月14日 1880年科隆大教堂完工
8月15日 1969年伍德斯托克音乐节开始
8月16日 1977年猫王逝世
8月17日 1970年金星7号首次成功登陆金星
8月18日 1932年苏格兰物理学家詹姆斯·克拉克·麦克斯韦出生
8月19日 1839年法国政府公布达盖尔摄影法
8月20日 1977年旅行者2号发射
8月21日 1959年夏威夷成为美国第50个州
8月22日 1864年红十字国际委员会成立
8月23日 1966年月球轨道器1号拍摄第一张地球从月球升起照片
8月24日 2006年冥王星被重新分类为矮行星
8月25日 1989年旅行者2号飞越海王星
8月26日 1978年约翰·保罗一世成为教皇
8月27日 1883年喀拉喀托火山爆发
8月28日 1963年马丁·路德·金发表"我有一个梦想"演讲
8月29日 2005年飓风卡特里娜袭击新奥尔良
8月30日 1984年发现号航天飞机首次飞行
8月31日 1955年第一款麦当劳开业
9月1日 1985年泰坦尼克号残骸发现
9月2日 1666年伦敦大火开始
9月3日 1976年维京2号在火星软着陆
9月4日 1998年谷歌公司成立
9月5日 1977年旅行者1号发射
9月6日 1997年埃尔顿·约翰为戴安娜王妃演唱风中之烛
9月7日 1822年巴西独立
9月8日 1966年《星际迷航》首次播出
9月9日 1850年加利福尼亚成为美国第31个州
9月10日 1981年毕加索的《格尔尼卡》返回西班牙
9月11日 2001年美国911恐怖袭击
9月12日 1992年梅厄·克里博士进入太空
9月13日 1993年以色列和巴解组织签署奥斯陆协议
9月14日 1814年弗朗西斯·斯科特·基创作星条旗
9月15日 1916年坦克首次在战争中使用
9月16日 1908年通用汽车公司成立
9月17日 1787年美国宪法签署
9月18日 1977年旅行者1号拍摄第一张地球和月球在一起照片
9月19日 1991年冰人奥茨发现
9月20日 1519年麦哲伦开始环球航行
9月21日 1792年法国废除君主制
9月22日 1791年迈克尔·法拉第出生
9月23日 1846年海王星发现；2009年我（Sou Amezawa)出生
9月24日 1996年全面禁止核试验条约签署
9月25日 1956年第一条横跨大西洋电话电缆投入使用
9月26日 1983年斯坦福·鲁宾斯基防止核战争
9月27日 1825年世界上第一条公共铁路开通
9月28日 1928年亚历山大·弗莱明发现青霉素
9月29日 1901年恩里科·费米出生
9月30日 1929年英国飞行员首次成功飞越南极
10月1日 1949年中华人民共和国成立
10月2日 1950年查尔斯·舒尔茨首次发表花生漫画
10月3日 1990年德国统一
10月4日 1957年苏联发射第一颗人造卫星斯普特尼克1号
10月5日 2011年史蒂夫·乔布斯逝世
10月6日 1927年第一部有声电影《爵士歌手》首映
10月7日 1885年尼尔斯·玻尔出生
10月8日 1871年芝加哥大火
10月9日 1940年约翰·列侬出生
10月10日 1970年斐济独立
10月11日 1968年阿波罗7号发射
10月12日 1492年哥伦布到达美洲
10月13日 1792年白宫奠基
10月14日 1947年查克·耶格尔突破音障
10月15日 1997年卡西尼-惠更斯号发射
10月16日 1846年威廉·莫顿首次公开演示乙醚麻醉
10月17日 1931年阿尔·卡彭因逃税被起诉
10月18日 1867年美国从俄罗斯购买阿拉斯加
10月19日 1987年黑色星期一股市崩盘
10月20日 1973年悉尼歌剧院开放
10月21日 1879年爱迪生发明实用电灯
10月22日 1797年安德烈-雅克·加纳林完成首次有记录的降落伞跳跃
10月23日 1946年联合国大会第一次会议
10月24日 1945年联合国成立
10月25日 1400年杰弗里·乔叟逝世
10月26日 1863年英格兰足球总会成立
10月27日 1858年西奥多·罗斯福出生
10月28日 1886年自由女神像落成
10月29日 1929年黑色星期二股市崩盘
10月30日 1938年奥森·威尔斯广播《世界大战》引起恐慌
10月31日 1517年马丁·路德张贴九十五条论纲
11月1日 1952年美国首次氢弹试验
11月2日 1947年霍华德·休斯驾驶H-4大力神飞机首飞
11月3日 1957年苏联发射搭载莱卡狗的斯普特尼克2号
11月4日 1922年英国考古学家霍华德·卡特发现图坦卡蒙墓
11月5日 1913年氢弹之父爱德华·泰勒出生
11月6日 1860年亚伯拉罕·林肯当选美国总统
11月7日 1867年玛丽·居里出生
11月8日 1895年威廉·伦琴发现X射线
11月9日 1989年柏林墙倒塌
11月10日 1969年《芝麻街》首次播出
11月11日 1918年第一次世界大战结束
11月12日 1980年旅行者1号飞越土星
11月13日 1971年水手9号成为第一个环绕另一行星的航天器
11月14日 1889年尼赫鲁出生
11月15日 1630年约翰内斯·开普勒逝世
11月16日 1904年英国工程师约翰·安布罗斯·弗莱明发明真空管
11月17日 1869年苏伊士运河开通
11月18日 1928年米老鼠首次亮相
11月19日 1863年林肯发表葛底斯堡演说
11月20日 1945年纽伦堡审判开始
11月21日 1877年爱迪生发明留声机
11月22日 1963年约翰·肯尼迪遇刺
11月23日 1889年第一家自动点唱机在旧金山安装
11月24日 1859年达尔文《物种起源》出版
11月25日 1915年爱因斯坦发表广义相对论
11月26日 1922年霍华德·卡特进入图坦卡蒙墓室
11月27日 1701年安德斯·摄尔修斯出生
11月28日 1967年第一颗脉冲星发现
11月29日 1929年伯德首次飞越南极
11月30日 1874年温斯顿·丘吉尔出生
12月1日 1959年南极条约签署
12月2日 1942年恩里科·费米启动第一个核反应堆
12月3日 1967年第一例人类心脏移植手术
12月4日 1996年美国宇航局发射火星探路者号
12月5日 1901年沃尔特·迪士尼出生
12月6日 1877年托马斯·爱迪生发明留声机
12月7日 1972年阿波罗17号发射
12月8日 1993年北美自由贸易协定签署
12月9日 1968年道格拉斯·恩格尔巴特演示计算机鼠标
12月10日 1896年阿尔弗雷德·诺贝尔逝世
12月11日 1972年阿波罗17号登陆月球
12月12日 1901年马可尼首次跨大西洋无线电传输
12月13日 1577年弗朗西斯·德雷克开始环球航行
12月14日 1911年罗尔德·阿蒙森到达南极点
12月15日 1965年两艘美国宇航器在太空会合
12月16日 1773年波士顿倾茶事件
12月17日 1903年莱特兄弟首次动力飞行
12月18日 1999年美国宇航局发射 Terra 卫星
12月19日 1972年阿波罗17号返回地球
12月20日 1995年波音777首次商业飞行
12月21日 1968年阿波罗8号发射
12月22日 1882年爱迪生点亮第一批圣诞灯
12月23日 1947年晶体管发明
12月24日 1968年阿波罗8号宇航员朗读《创世纪》
12月25日 1642年艾萨克·牛顿出生
12月26日 1898年玛丽·居里发现镭
12月27日 1571年约翰内斯·开普勒出生
12月28日 1903年约翰·冯·诺依曼出生
12月29日 1845年德克萨斯成为美国第28个州
12月30日 1924年埃德温·哈勃宣布发现其他星系
12月31日 1999年世界准备迎接Y2K问题
